# Space group      : Pm-3m (221)
# Atomic species   : ['Cs', 'Pb', 'Br']
# Number of atoms  : 5    
# SOC              : False
# Number of elec   : 34.0 
# Number of bands  : 64   
# Cell vectors in Å: a=[5.874 0.    0.   ], b=[0.    5.874 0.   ], c=[0.    0.    5.874]
# Band gap (eV)    : 1.5401 eV
# VBM: 0.9415 eV, band 17, k-point [0.5, 0.5, 0.5]
# CBM: 2.4816 eV, band 18, k-point [0.5, 0.5, 0.5]
# Functional: GGA, AEXX = 0.00, HFSCREEN = 0.00
# |----------------- Begin Gvecs and C_nk(Gvecs)-------------------------------|
#	Gx	Gy	Gz	Re(C_nk)	Im(C_nk)
n_band : 13,	energy : -1.3594,	occupation : 1.0
	-3	-3	0	  -0.01793797        0.00426564
	-2	-3	0	  -0.00630953        0.01343177
	-1	-3	0	  -0.06023307       -0.00723999
	0	-2	0	  -0.00000000       -0.00000000
	1	-2	0	  -0.12227402       -0.04783436
	2	-2	0	  -0.00278482       -0.00384994
	3	-2	0	  -0.02042962       -0.00859514
	4	-2	0	  -0.00044371       -0.00051818
	5	-2	0	  -0.00209051       -0.00087633
	6	-2	0	  -0.00002310       -0.00003039
	-6	-2	0	  -0.00003705        0.00000787
	-5	-2	0	  -0.00215063       -0.00071142
	-4	-2	0	  -0.00066959        0.00010139
	-3	-2	0	  -0.02103714       -0.00692875
	-2	-2	0	  -0.00458597        0.00109054
	-1	-2	0	  -0.12359484       -0.04421140
	0	-1	0	  -0.00000000       -0.00000000
	1	-1	0	  -0.14672460       -0.20284276
	2	-1	0	   0.02733804       -0.08341204
	3	-1	0	  -0.00657878       -0.04460500
	4	-1	0	   0.00488617       -0.01444177
	5	-1	0	   0.00024584       -0.00576282
	6	-1	0	   0.00057169       -0.00167236
	7	-1	0	   0.00006651       -0.00044843
	-7	-1	0	  -0.00023717        0.00038454
	-6	-1	0	  -0.00063856        0.00164732
	-5	-1	0	  -0.00351049        0.00454064
	-4	-1	0	  -0.00555289        0.01419217
	-3	-1	0	  -0.03361608        0.02955728
	-2	-1	0	  -0.03274320        0.08138852
	-1	-1	0	  -0.24162215        0.05745764
	0	0	1	   0.00000000        0.00000000
	1	0	1	  -0.12188414        0.03779638
	2	0	1	  -0.03107664        0.08111487
	3	0	1	  -0.02122289        0.02752229
	4	0	1	  -0.00534732        0.01415841
	5	0	1	  -0.00250391        0.00437536
	6	0	1	  -0.00061794        0.00164393
	7	0	1	  -0.00018455        0.00037590
	-7	0	1	   0.00011913       -0.00045707
	-6	0	1	   0.00059231       -0.00167574
	-5	0	1	   0.00125242       -0.00592810
	-4	0	1	   0.00509174       -0.01447552
	-3	0	1	   0.00581440       -0.04663999
	-2	0	1	   0.02900460       -0.08368569
	-1	0	1	  -0.02698659       -0.22250400
	0	1	1	  -0.11973801        0.01966126
	1	1	1	  -0.00000000        0.00000000
	2	1	1	  -0.02616313        0.00429605
	3	1	1	   0.00027623       -0.00004536
	4	1	1	  -0.00252331        0.00041433
	5	1	1	   0.00002407       -0.00000395
	6	1	1	  -0.00020517        0.00003369
	-6	1	1	  -0.00020517        0.00003369
	-5	1	1	   0.00002407       -0.00000395
	-4	1	1	  -0.00252331        0.00041433
	-3	1	1	   0.00027623       -0.00004536
	-2	1	1	  -0.02616313        0.00429605
	-1	1	1	  -0.00000000        0.00000000
	0	2	1	  -0.12189841       -0.04473747
	1	2	1	  -0.02663207        0.00825863
	2	2	1	  -0.05488051        0.01305056
	3	2	1	  -0.00877449        0.01276717
	4	2	1	  -0.00857156        0.00563081
	5	2	1	  -0.00145510        0.00263218
	6	2	1	  -0.00088915        0.00083360
	-6	2	1	  -0.00013784       -0.00122721
	-5	2	1	   0.00078969       -0.00352518
	-4	2	1	  -0.00287507       -0.00999444
	-3	2	1	   0.00338618       -0.02058907
	-2	2	1	  -0.03332608       -0.04607240
	-1	2	1	  -0.00589665       -0.04861782
	0	3	1	  -0.04761776       -0.01115201
	1	3	1	   0.00028118       -0.00008719
	2	3	1	  -0.02137205       -0.00559834
	3	3	1	   0.00024869       -0.00005914
	4	3	1	  -0.00367312       -0.00097108
	5	3	1	   0.00003561       -0.00001509
	6	3	1	  -0.00035611       -0.00008938
	-6	3	1	  -0.00035653       -0.00008822
	-5	3	1	   0.00001820        0.00003268
	-4	3	1	  -0.00372477       -0.00082942
	-3	3	1	   0.00015102        0.00020878
	-2	3	1	  -0.02169260       -0.00471907
	-1	3	1	   0.00006226        0.00051331
	0	4	1	  -0.02123195       -0.00783788
	1	4	1	  -0.00256854        0.00079651
	2	4	1	  -0.01299808       -0.00050156
	3	4	1	  -0.00149414        0.00219986
	4	4	1	  -0.00314598        0.00074811
	5	4	1	  -0.00035791        0.00062843
	-5	4	1	   0.00017898       -0.00084421
	-4	4	1	  -0.00191039       -0.00264106
	-3	4	1	   0.00058696       -0.00350852
	-2	4	1	  -0.01022305       -0.00811336
	-1	4	1	  -0.00056870       -0.00468896
	0	5	1	  -0.00706021       -0.00210101
	1	5	1	   0.00002450       -0.00000760
	2	5	1	  -0.00421202       -0.00128454
	3	5	1	   0.00004405       -0.00000385
	4	5	1	  -0.00101354       -0.00030231
	-4	5	1	  -0.00101178       -0.00030712
	-3	5	1	   0.00003018        0.00003420
	-2	5	1	  -0.00423103       -0.00123239
	-1	5	1	   0.00000542        0.00004472
	0	6	1	  -0.00246352       -0.00091116
	1	6	1	  -0.00020885        0.00006476
	2	6	1	  -0.00165619       -0.00022832
	3	6	1	  -0.00015025        0.00020980
	-3	6	1	   0.00004905       -0.00033687
	-2	6	1	  -0.00140781       -0.00090962
	-1	6	1	  -0.00004624       -0.00038126
	0	7	1	  -0.00058865       -0.00019203
	0	-7	1	   0.00065407        0.00027320
	0	-6	1	   0.00248916        0.00094297
	1	-6	1	  -0.00020885        0.00006476
	2	-6	1	   0.00141836        0.00092270
	3	-6	1	  -0.00015199        0.00020915
	-3	-6	1	   0.00004731       -0.00033752
	-2	-6	1	   0.00166674        0.00024140
	-1	-6	1	  -0.00004624       -0.00038126
	0	-5	1	   0.00831170        0.00365376
	1	-5	1	   0.00002450       -0.00000760
	2	-5	1	   0.00497425        0.00215452
	3	-5	1	  -0.00002722       -0.00003053
	4	-5	1	   0.00118353        0.00052021
	-4	-5	1	   0.00118528        0.00051539
	-3	-5	1	  -0.00004110        0.00000751
	-2	-5	1	   0.00495524        0.00220667
	-1	-5	1	   0.00000542        0.00004472
	0	-4	1	   0.02148753        0.00815498
	1	-4	1	  -0.00256854        0.00079651
	2	-4	1	   0.01031350        0.00822558
	3	-4	1	  -0.00170549        0.00212073
	4	-4	1	   0.00191039        0.00264106
	5	-4	1	  -0.00035072        0.00063113
	-5	-4	1	   0.00018616       -0.00084152
	-4	-4	1	   0.00314598       -0.00074811
	-3	-4	1	   0.00037561       -0.00358764
	-2	-4	1	   0.01308853        0.00061378
	-1	-4	1	  -0.00056870       -0.00468896
	0	-3	1	   0.06302625        0.03026971
	1	-3	1	   0.00028118       -0.00008720
	2	-3	1	   0.02839272        0.01303206
	3	-3	1	  -0.00015102       -0.00020878
	4	-3	1	   0.00484330        0.00221720
	5	-3	1	  -0.00002115       -0.00003635
	6	-3	1	   0.00045947        0.00021594
	-6	-3	1	   0.00045905        0.00021711
	-5	-3	1	  -0.00003857        0.00001143
	-4	-3	1	   0.00479165        0.00235887
	-3	-3	1	  -0.00024869        0.00005914
	-2	-3	1	   0.02807216        0.01391133
	-1	-3	1	   0.00006226        0.00051331
	0	-2	1	   0.12397045        0.04730830
	1	-2	1	  -0.02663207        0.00825863
	2	-2	1	   0.03332609        0.04607240
	3	-2	1	  -0.01008629        0.01227607
	4	-2	1	   0.00278462        0.00988221
	5	-2	1	  -0.00153290        0.00260305
	6	-2	1	   0.00012730        0.00121412
	-6	-2	1	   0.00087860       -0.00084668
	-5	-2	1	   0.00071188       -0.00355431
	-4	-2	1	   0.00848111       -0.00574303
	-3	-2	1	   0.00207438       -0.02108017
	-2	-2	1	   0.05488051       -0.01305056
	-1	-2	1	  -0.00589665       -0.04861782
	0	-1	1	   0.26860875        0.16504636
	1	-1	1	  -0.00000000        0.00000000
	2	-1	1	   0.05869185        0.03606315
	3	-1	1	  -0.00061967       -0.00038076
	4	-1	1	   0.00566056        0.00347812
	5	-1	1	  -0.00005399       -0.00003317
	6	-1	1	   0.00046026        0.00028281
	-6	-1	1	   0.00046026        0.00028281
	-5	-1	1	  -0.00005399       -0.00003317
	-4	-1	1	   0.00566056        0.00347812
	-3	-1	1	  -0.00061967       -0.00038076
	-2	-1	1	   0.05869185        0.03606315
	-1	-1	1	  -0.00000000       -0.00000000
	0	0	2	   0.00000000       -0.00000000
	1	0	2	  -0.04778669       -0.05665927
	2	0	2	  -0.00231335        0.00071737
	3	0	2	  -0.00825179       -0.00902813
	4	0	2	  -0.00032633        0.00004503
	5	0	2	  -0.00084297       -0.00092614
	6	0	2	  -0.00001850        0.00000482
	-6	0	2	  -0.00000456       -0.00003343
	-5	0	2	  -0.00078285       -0.00109105
	-4	0	2	  -0.00010045       -0.00057454
	-3	0	2	  -0.00764428       -0.01069452
	-2	0	2	  -0.00051220       -0.00422311
	-1	0	2	  -0.04646587       -0.06028223
	0	1	2	   0.04442371        0.05745899
	1	1	2	   0.05279519       -0.01255467
	2	1	2	   0.02768398       -0.00858483
	3	1	2	   0.01456791       -0.01371846
	4	1	2	   0.00514288       -0.00506781
	5	1	2	   0.00207686       -0.00273427
	6	1	2	   0.00058423       -0.00078353
	-6	1	2	  -0.00016707        0.00127728
	-5	1	2	  -0.00016792        0.00342308
	-4	1	2	  -0.00055360        0.01055743
	-3	1	2	   0.00240725        0.01963778
	-2	1	2	   0.00612956        0.05053813
	-1	1	2	   0.03205978        0.04432177
	0	2	2	  -0.00227262        0.00037317
	1	2	2	   0.02719652       -0.00446573
	2	2	2	  -0.00000000        0.00000000
	3	2	2	   0.00645963       -0.00106069
	4	2	2	   0.00010995       -0.00001805
	5	2	2	   0.00079732       -0.00013092
	6	2	2	   0.00000531       -0.00000087
	-6	2	2	   0.00000531       -0.00000087
	-5	2	2	   0.00079732       -0.00013092
	-4	2	2	   0.00010995       -0.00001805
	-3	2	2	   0.00645963       -0.00106069
	-2	2	2	  -0.00000000       -0.00000000
	-1	2	2	   0.02719652       -0.00446573
	0	3	2	   0.00670498        0.00939596
	1	3	2	   0.02726931        0.00376959
	2	3	2	   0.00657541       -0.00203904
	3	3	2	   0.00970560       -0.00230799
	4	3	2	   0.00195262       -0.00180603
	5	3	2	   0.00156900       -0.00080620
	6	3	2	   0.00023287       -0.00029993
	-6	3	2	  -0.00005808        0.00049815
	-5	3	2	   0.00067472        0.00164676
	-4	3	2	  -0.00011211        0.00385744
	-3	3	2	   0.00589371        0.00814789
	-2	3	2	   0.00145587        0.01200365
	-1	3	2	   0.02299833        0.01548473
	0	4	2	  -0.00024879        0.00009173
	1	4	2	   0.00950795        0.00158385
	2	4	2	   0.00011192       -0.00003471
	3	4	2	   0.00347119        0.00051625
	4	4	2	   0.00006933       -0.00001649
	5	4	2	   0.00051390        0.00007287
	-5	4	2	   0.00050264        0.00010374
	-4	4	2	   0.00004210        0.00005820
	-3	4	2	   0.00340570        0.00069587
	-2	4	2	   0.00002478        0.00020431
	-1	4	2	   0.00945030        0.00174200
	0	5	2	   0.00068990        0.00096254
	1	5	2	   0.00484493        0.00108827
	2	5	2	   0.00081161       -0.00025168
	3	5	2	   0.00210353       -0.00006713
	4	5	2	   0.00029370       -0.00026491
	-4	5	2	  -0.00001223        0.00057425
	-3	5	2	   0.00155541        0.00143634
	-2	5	2	   0.00017970        0.00148162
	-1	5	2	   0.00437116        0.00238779
	0	6	2	  -0.00001701        0.00000362
	1	6	2	   0.00134581        0.00032456
	2	6	2	   0.00000540       -0.00000168
	3	6	2	   0.00052133        0.00012058
	-3	6	2	   0.00051607        0.00013501
	-2	6	2	   0.00000120        0.00000987
	-1	6	2	   0.00133909        0.00034301
	0	-6	2	   0.00004007        0.00002499
	1	-6	2	  -0.00172874       -0.00082645
	2	-6	2	   0.00000540       -0.00000168
	3	-6	2	  -0.00066934       -0.00032517
	-3	-6	2	  -0.00067460       -0.00031075
	-2	-6	2	   0.00000120        0.00000987
	-1	-6	2	  -0.00173546       -0.00080801
	0	-5	2	   0.00093592        0.00105465
	1	-5	2	  -0.00434134       -0.00235078
	2	-5	2	   0.00081161       -0.00025168
	3	-5	2	  -0.00155609       -0.00143718
	4	-5	2	   0.00024764       -0.00028216
	-4	-5	2	  -0.00005829        0.00055700
	-3	-5	2	  -0.00210421        0.00006629
	-2	-5	2	   0.00017970        0.00148162
	-1	-5	2	  -0.00481510       -0.00105127
	0	-4	2	   0.00067556        0.00043778
	1	-4	2	  -0.01380363       -0.00714329
	2	-4	2	   0.00011192       -0.00003471
	3	-4	2	  -0.00497824       -0.00264696
	4	-4	2	  -0.00004210       -0.00005820
	5	-4	2	  -0.00073806       -0.00039583
	-5	-4	2	  -0.00074931       -0.00036495
	-4	-4	2	  -0.00006933        0.00001649
	-3	-4	2	  -0.00504373       -0.00246734
	-2	-4	2	   0.00002478        0.00020431
	-1	-4	2	  -0.01386128       -0.00698514
	0	-3	2	   0.00919109        0.01032669
	1	-3	2	  -0.02249546       -0.01486081
	2	-3	2	   0.00657541       -0.00203904
	3	-3	2	  -0.00589371       -0.00814789
	4	-3	2	   0.00168464       -0.00190635
	5	-3	2	  -0.00067404       -0.00164592
	6	-3	2	   0.00021135       -0.00030799
	-6	-3	2	  -0.00007960        0.00049010
	-5	-3	2	  -0.00156832        0.00080704
	-4	-3	2	  -0.00038009        0.00375712
	-3	-3	2	  -0.00970560        0.00230799
	-2	-3	2	   0.00145587        0.01200365
	-1	-3	2	  -0.02676644       -0.00314567
	0	-2	2	   0.00509817        0.00313257
	1	-2	2	  -0.06101007       -0.03748757
	2	-2	2	  -0.00000000        0.00000000
	3	-2	2	  -0.01449091       -0.00890393
	4	-2	2	  -0.00024665       -0.00015155
	5	-2	2	  -0.00178862       -0.00109902
	6	-2	2	  -0.00001191       -0.00000732
	-6	-2	2	  -0.00001191       -0.00000732
	-5	-2	2	  -0.00178862       -0.00109902
	-4	-2	2	  -0.00024665       -0.00015155
	-3	-2	2	  -0.01449091       -0.00890393
	-2	-2	2	  -0.00000000        0.00000000
	-1	-2	2	  -0.06101007       -0.03748757
	0	-1	2	   0.04982886        0.05948251
	1	-1	2	  -0.03205978       -0.04432178
	2	-1	2	   0.02768398       -0.00858483
	3	-1	2	  -0.00291012       -0.02026170
	4	-1	2	   0.00490693       -0.00515614
	5	-1	2	   0.00013809       -0.00346009
	6	-1	2	   0.00055672       -0.00079383
	-6	-1	2	  -0.00019459        0.00126698
	-5	-1	2	  -0.00210669        0.00269727
	-4	-1	2	  -0.00078955        0.01046910
	-3	-1	2	  -0.01507078        0.01309454
	-2	-1	2	   0.00612956        0.05053813
	-1	-1	2	  -0.05279519        0.01255467
	0	0	3	  -0.00000000       -0.00000000
	1	0	3	  -0.02611847       -0.01284169
	2	0	3	  -0.00554299        0.01330590
	3	0	3	  -0.00904865        0.00280599
	4	0	3	  -0.00187208        0.00459020
	5	0	3	  -0.00143168        0.00112356
	6	0	3	  -0.00024932        0.00064381
	-6	0	3	   0.00022921       -0.00066877
	-5	0	3	   0.00002420       -0.00286986
	-4	0	3	   0.00159854       -0.00492959
	-3	0	3	  -0.00200348       -0.01651864
	-2	0	3	   0.00458995       -0.01448836
	-1	0	3	  -0.01629634       -0.03978343
	0	1	3	   0.00110998        0.01878870
	1	1	3	  -0.00055742        0.00013255
	2	1	3	   0.00063924        0.00900271
	3	1	3	  -0.00012545        0.00003890
	4	1	3	   0.00014763        0.00154998
	5	1	3	  -0.00001573        0.00001183
	6	1	3	   0.00002184        0.00014427
	-6	1	3	   0.00002227        0.00014311
	-5	1	3	   0.00000168       -0.00003594
	-4	1	3	   0.00019928        0.00140831
	-3	1	3	  -0.00002778       -0.00022901
	-2	1	3	   0.00095980        0.00812344
	-1	1	3	  -0.00033849       -0.00046795
	0	2	3	  -0.02025686       -0.00717071
	1	2	3	  -0.01232992       -0.00622267
	2	2	3	  -0.01303504        0.00309973
	3	2	3	  -0.00489590        0.00151822
	4	2	3	  -0.00313480        0.00200015
	5	2	3	  -0.00087795        0.00069273
	6	2	3	  -0.00034951        0.00031908
	-6	2	3	  -0.00005856       -0.00047900
	-5	2	3	   0.00001633       -0.00176024
	-4	2	3	  -0.00107007       -0.00366332
	-3	2	3	  -0.00108401       -0.00893765
	-2	2	3	  -0.00791550       -0.01094297
	-1	2	3	  -0.00805894       -0.01793781
	0	3	3	  -0.00888932        0.00145965
	1	3	3	  -0.00012324        0.00002024
	2	3	3	  -0.00480970        0.00078976
	3	3	3	   0.00000000       -0.00000000
	4	3	3	  -0.00103713        0.00017030
	5	3	3	  -0.00000205        0.00000034
	-5	3	3	  -0.00000205        0.00000034
	-4	3	3	  -0.00103713        0.00017030
	-3	3	3	   0.00000000       -0.00000000
	-2	3	3	  -0.00480970        0.00078976
	-1	3	3	  -0.00012324        0.00002024
	0	4	3	  -0.00696460       -0.00248884
	1	4	3	  -0.00209454       -0.00108700
	2	4	3	  -0.00467456       -0.00014308
	3	4	3	  -0.00105571        0.00032738
	4	4	3	  -0.00125935        0.00029947
	5	4	3	  -0.00021406        0.00016041
	-5	4	3	  -0.00000556       -0.00041148
	-4	4	3	  -0.00076474       -0.00105723
	-3	4	3	  -0.00023375       -0.00192725
	-2	4	3	  -0.00367214       -0.00289267
	-1	4	3	  -0.00138154       -0.00304275
	0	5	3	  -0.00227519       -0.00024207
	1	5	3	  -0.00002382       -0.00000243
	2	5	3	  -0.00140010       -0.00015101
	3	5	3	  -0.00000209        0.00000065
	4	5	3	  -0.00033218       -0.00003052
	-4	5	3	  -0.00032614       -0.00004708
