# Space group      : Pm-3m (221)
# Atomic species   : ['Cs', 'Pb', 'Br']
# Number of atoms  : 5    
# SOC              : True 
# Number of elec   : 34.0 
# Number of bands  : 48   
# Cell vectors in Å: a=[5.874 0.    0.   ], b=[0.    5.874 0.   ], c=[0.    0.    5.874]
# Band gap (eV)    : 1.7509 eV
# VBM: 0.0286 eV, band 33, k-point [0.5, 0.5, 0.5]
# CBM: 1.7795 eV, band 35, k-point [0.5, 0.5, 0.5]
 
#	Gx	Gy	Gz	Re(C_nk)	Im(C_nk)
n_band : 33,	energy : -2.26,	occupation : 1.0
	6	-2	3	  -0.00000865        0.00008792
	-6	-2	3	  -0.00011852       -0.00000465
	-5	-2	3	   0.00020554       -0.00001997
	-4	-2	3	  -0.00100388        0.00002023
	-3	-2	3	   0.00136513       -0.00033187
	-2	-2	3	  -0.00393589        0.00098842
	-1	-2	3	   0.00397417       -0.00164489
	0	-1	3	   0.00335203       -0.00523946
	1	-1	3	   0.01929129       -0.01811822
	2	-1	3	  -0.00004866       -0.00463700
	3	-1	3	   0.00256802       -0.00699500
	4	-1	3	  -0.00027117       -0.00116012
	5	-1	3	   0.00003408       -0.00109529
	6	-1	3	  -0.00006359       -0.00014078
	-6	-1	3	   0.00014372        0.00006351
	-5	-1	3	   0.00147116        0.00032236
	-4	-1	3	   0.00115908        0.00025241
	-3	-1	3	   0.01008131        0.00041664
	-2	-1	3	   0.00416952       -0.00046300
	-1	-1	3	   0.02988319       -0.00766720
	0	0	4	  -0.01235527        0.00317066
	1	0	4	  -0.00125724        0.00210791
	2	0	4	  -0.00439325        0.00373227
	3	0	4	   0.00001963        0.00108683
	4	0	4	  -0.00042543        0.00118817
	5	0	4	   0.00006250        0.00023194
	-5	0	4	  -0.00026123       -0.00008584
	-4	0	4	  -0.00215452       -0.00051253
	-3	0	4	  -0.00115283       -0.00005979
	-2	0	4	  -0.00856171       -0.00036294
	-1	0	4	  -0.00225430        0.00113309
	0	1	4	  -0.00202591       -0.00126466
	1	1	4	   0.00233303       -0.00060735
	2	1	4	  -0.00097474       -0.00051913
	3	1	4	   0.00052742       -0.00044060
	4	1	4	  -0.00016080       -0.00003194
	5	1	4	   0.00003551       -0.00009485
	-5	1	4	   0.00024045        0.00007633
	-4	1	4	  -0.00031005       -0.00025524
	-3	1	4	   0.00143889        0.00032514
	-2	1	4	  -0.00112030       -0.00084642
	-1	1	4	   0.00334023        0.00025093
	0	2	4	  -0.00543971       -0.00120716
	1	2	4	  -0.00063344        0.00092066
	2	2	4	  -0.00186819        0.00048017
	3	2	4	   0.00001863        0.00055287
	4	2	4	  -0.00013100        0.00036590
	5	2	4	   0.00003818        0.00011535
	-5	2	4	  -0.00015625       -0.00007582
	-4	2	4	  -0.00118021       -0.00066728
	-3	2	4	  -0.00066911       -0.00012164
	-2	2	4	  -0.00421844       -0.00183228
	-1	2	4	  -0.00116212        0.00040273
	0	3	4	  -0.00043509       -0.00097939
	1	3	4	   0.00065073        0.00012687
	2	3	4	  -0.00021790       -0.00050529
	3	3	4	   0.00013468       -0.00003774
	4	3	4	  -0.00003431       -0.00008321
	5	3	4	  -0.00000171       -0.00001800
	-5	3	4	   0.00007766        0.00004925
	-4	3	4	  -0.00010609       -0.00018256
	-3	3	4	   0.00048958        0.00026254
	-2	3	4	  -0.00029386       -0.00064285
	-1	3	4	   0.00099875        0.00042484
	0	4	4	  -0.00085874       -0.00085802
	1	4	4	  -0.00012384        0.00010029
	2	4	4	  -0.00026440       -0.00026404
	3	4	4	   0.00000547        0.00008887
	4	4	4	  -0.00000003        0.00000005
	-4	4	4	  -0.00023670       -0.00023329
	-3	4	4	  -0.00016050       -0.00007468
	-2	4	4	  -0.00078128       -0.00077361
	-1	4	4	  -0.00024719       -0.00002116
	0	5	4	  -0.00003915       -0.00023778
	1	5	4	   0.00007040        0.00006531
	2	5	4	  -0.00001370       -0.00012207
	3	5	4	   0.00000567        0.00001586
	-3	5	4	   0.00005364        0.00005672
	-2	5	4	  -0.00004379       -0.00015990
	-1	5	4	   0.00011927        0.00010736
	0	-5	4	  -0.00020198        0.00020456
	1	-5	4	   0.00018402       -0.00018368
	2	-5	4	  -0.00011138        0.00014392
	3	-5	4	   0.00004933       -0.00008155
	-3	-5	4	   0.00009740       -0.00004073
	-2	-5	4	  -0.00014141        0.00010609
	-1	-5	4	   0.00023298       -0.00014169
	0	-4	4	  -0.00172726        0.00150809
	1	-4	4	  -0.00017193        0.00038367
	2	-4	4	  -0.00079099        0.00117296
	3	-4	4	  -0.00002048        0.00021684
	4	-4	4	  -0.00011872        0.00032450
	-4	-4	4	  -0.00035537        0.00009115
	-3	-4	4	  -0.00018637        0.00005318
	-2	-4	4	  -0.00130782        0.00066332
	-1	-4	4	  -0.00029513        0.00026203
	0	-3	4	  -0.00102634        0.00061820
	1	-3	4	   0.00115450       -0.00098510
	2	-3	4	  -0.00056404        0.00043384
	3	-3	4	   0.00033008       -0.00047288
	4	-3	4	  -0.00011757        0.00014423
	5	-3	4	   0.00002461       -0.00007709
	-5	-3	4	   0.00010407       -0.00000985
	-4	-3	4	  -0.00018923        0.00004495
	-3	-3	4	   0.00068529       -0.00017268
	-2	-3	4	  -0.00063971        0.00029623
	-1	-3	4	   0.00150298       -0.00068747
	0	-2	4	  -0.00753522        0.00449204
	1	-2	4	  -0.00064189        0.00131036
	2	-2	4	  -0.00304846        0.00369713
	3	-2	4	   0.00000255        0.00072186
	4	-2	4	  -0.00039022        0.00107443
	5	-2	4	   0.00002596        0.00016505
	-5	-2	4	  -0.00016841       -0.00002615
	-4	-2	4	  -0.00143935        0.00004128
	-3	-2	4	  -0.00068492        0.00004726
	-2	-2	4	  -0.00539817        0.00138456
	-1	-2	4	  -0.00116991        0.00079197
	0	-1	4	  -0.00252880        0.00009365
	1	-1	4	   0.00288542       -0.00184859
	2	-1	4	  -0.00124105        0.00020224
	3	-1	4	   0.00071777       -0.00087092
	4	-1	4	  -0.00022273        0.00013701
	5	-1	4	   0.00006216       -0.00015550
	-5	-1	4	   0.00026721        0.00001570
	-4	-1	4	  -0.00037176       -0.00008618
	-3	-1	4	   0.00162982       -0.00010508
	-2	-1	4	  -0.00138582       -0.00012493
	-1	-1	4	   0.00389372       -0.00099057
	0	0	5	  -0.00178273        0.00045749
	1	0	5	   0.00053058        0.00016543
	2	0	5	  -0.00084845        0.00043045
	3	0	5	   0.00020709        0.00000381
	4	0	5	  -0.00013568        0.00015281
	5	0	5	   0.00002804       -0.00000975
	-5	0	5	   0.00005254        0.00002522
	-4	0	5	  -0.00034475       -0.00002487
	-3	0	5	   0.00030940        0.00015848
	-2	0	5	  -0.00123290        0.00011495
	-1	0	5	   0.00064737        0.00033073
	0	1	5	   0.00039051       -0.00039870
	1	1	5	   0.00227249       -0.00058330
	2	1	5	   0.00006496       -0.00045905
	3	1	5	   0.00055367       -0.00050424
	4	1	5	  -0.00001446       -0.00015682
	-4	1	5	   0.00018830        0.00004263
	-3	1	5	   0.00145060        0.00038047
	-2	1	5	   0.00050475       -0.00002479
	-1	1	5	   0.00312227        0.00025538
	0	2	5	  -0.00093563        0.00003143
	1	2	5	   0.00025429        0.00037887
	2	2	5	  -0.00043948        0.00011519
	3	2	5	   0.00009498        0.00010457
	4	2	5	  -0.00006108        0.00005353
	-4	2	5	  -0.00019282       -0.00005971
	-3	2	5	   0.00016851        0.00020913
	-2	2	5	  -0.00067806       -0.00008208
	-1	2	5	   0.00033180        0.00048453
	0	3	5	   0.00017632       -0.00009886
	1	3	5	   0.00069888        0.00018259
	2	3	5	   0.00003849       -0.00013688
	3	3	5	   0.00015507       -0.00003988
	4	3	5	  -0.00000121       -0.00004536
	-4	3	5	   0.00006822        0.00002258
	-3	3	5	   0.00048866        0.00028883
	-2	3	5	   0.00020376        0.00002585
	-1	3	5	   0.00101112        0.00049056
	0	4	5	  -0.00018384       -0.00006899
	1	4	5	   0.00005257        0.00014735
	2	4	5	  -0.00007630       -0.00001668
	3	4	5	   0.00001827        0.00004134
	-3	4	5	   0.00003768        0.00006697
	-2	4	5	  -0.00014241       -0.00007369
	-1	4	5	   0.00007420        0.00017491
	0	5	5	   0.00002799       -0.00000396
	0	-5	5	   0.00003648       -0.00004873
	0	-4	5	  -0.00029867        0.00018817
	1	-4	5	   0.00015442       -0.00013013
	2	-4	5	  -0.00014821        0.00014668
	3	-4	5	   0.00005328       -0.00005331
	-3	-4	5	   0.00007264       -0.00002772
	-2	-4	5	  -0.00021438        0.00008966
	-1	-4	5	   0.00017605       -0.00010264
	0	-3	5	   0.00020873       -0.00029478
	1	-3	5	   0.00114853       -0.00104737
	2	-3	5	   0.00006410       -0.00027085
	3	-3	5	   0.00032243       -0.00049697
	4	-3	5	   0.00000624       -0.00007869
	-4	-3	5	   0.00007565       -0.00001069
	-3	-3	5	   0.00065604       -0.00016828
	-2	-3	5	   0.00022939       -0.00010810
	-1	-3	5	   0.00146085       -0.00073949
	0	-2	5	  -0.00115075        0.00049271
	1	-2	5	   0.00047460       -0.00022469
	2	-2	5	  -0.00057245        0.00040299
	3	-2	5	   0.00017793       -0.00012177
	4	-2	5	  -0.00009710        0.00013570
	-4	-2	5	  -0.00022889        0.00002250
	-3	-2	5	   0.00025147       -0.00001724
	-2	-2	5	  -0.00081102        0.00020571
	-1	-2	5	   0.00055226       -0.00011918
	0	-1	5	   0.00043147       -0.00061069
	1	-1	5	   0.00269833       -0.00174908
	2	-1	5	   0.00009355       -0.00059553
	3	-1	5	   0.00071020       -0.00093239
	4	-1	5	  -0.00000581       -0.00019291
	-4	-1	5	   0.00019699        0.00000660
	-3	-1	5	   0.00160725       -0.00004763
	-2	-1	5	   0.00053354       -0.00016121
	-1	-1	5	   0.00354831       -0.00091045
	0	0	6	  -0.00121279        0.00031123
	1	0	6	  -0.00018262        0.00022009
	2	0	6	  -0.00057154        0.00034843
	3	0	6	  -0.00002839        0.00012235
	-3	0	6	  -0.00014209        0.00001068
	-2	0	6	  -0.00089492        0.00003007
	-1	0	6	  -0.00026798        0.00013668
	0	1	6	  -0.00025752       -0.00010708
	1	1	6	   0.00032442       -0.00008387
	2	1	6	  -0.00013506       -0.00004141
	3	1	6	   0.00010763       -0.00005645
	-3	1	6	   0.00018768        0.00001137
	-2	1	6	  -0.00017275       -0.00009313
	-1	1	6	   0.00040077       -0.00001820
	0	2	6	  -0.00065255       -0.00003421
	1	2	6	  -0.00010089        0.00010109
	2	2	6	  -0.00028970        0.00007438
	3	2	6	  -0.00001186        0.00005520
	-3	2	6	  -0.00008039       -0.00001222
	-2	2	6	  -0.00048913       -0.00012220
	-1	2	6	  -0.00015527        0.00004782
	0	3	6	  -0.00007655       -0.00009537
	1	3	6	   0.00011930       -0.00000273
	2	3	6	  -0.00003422       -0.00004369
	-2	3	6	  -0.00005609       -0.00007056
	-1	3	6	   0.00014757        0.00002158
	0	-3	6	  -0.00013372        0.00006005
	1	-3	6	   0.00016334       -0.00010097
	2	-3	6	  -0.00006865        0.00005011
	-2	-3	6	  -0.00009043        0.00002324
	-1	-3	6	   0.00019168       -0.00007669
	0	-2	6	  -0.00081488        0.00040860
	1	-2	6	  -0.00011468        0.00016783
	2	-2	6	  -0.00038972        0.00034773
	3	-2	6	  -0.00002096        0.00009068
	-3	-2	6	  -0.00008942        0.00002322
	-2	-2	6	  -0.00058906        0.00015113
	-1	-2	6	  -0.00016898        0.00011451
	0	-1	6	  -0.00030059        0.00000917
	1	-1	6	   0.00036608       -0.00017859
	2	-1	6	  -0.00016246        0.00003278
	3	-1	6	   0.00012306       -0.00009152
	-3	-1	6	   0.00020318       -0.00002370
	-2	-1	6	  -0.00020005       -0.00001893
	-1	-1	6	   0.00044252       -0.00011294
	0	0	7	  -0.00014269        0.00003662
	1	0	7	   0.00005783        0.00000900
	-1	0	7	   0.00006330        0.00001645
	0	1	7	   0.00004696       -0.00003576
	0	-1	7	   0.00004897       -0.00004539
	0	0	-7	   0.00014296       -0.00003669
	1	0	-7	  -0.00006310       -0.00001650
	-1	0	-7	  -0.00005762       -0.00000903
	0	1	-7	  -0.00004878        0.00004534
	0	-1	-7	  -0.00004676        0.00003569
	0	0	-6	   0.00121384       -0.00031150
	1	0	-6	   0.00026828       -0.00013682
	2	0	-6	   0.00089558       -0.00003019
	3	0	-6	   0.00014222       -0.00001073
	-3	0	-6	   0.00002848       -0.00012243
	-2	0	-6	   0.00057210       -0.00034864
	-1	0	-6	   0.00018289       -0.00022027
	0	1	-6	   0.00030092       -0.00000918
	1	1	-6	  -0.00044274        0.00011300
	2	1	-6	   0.00020028        0.00001894
	3	1	-6	  -0.00020325        0.00002372
	-3	1	-6	  -0.00012311        0.00009154
	-2	1	-6	   0.00016263       -0.00003281
	-1	1	-6	  -0.00036629        0.00017866
	0	2	-6	   0.00081552       -0.00040882
	1	2	-6	   0.00016917       -0.00011463
	2	2	-6	   0.00058947       -0.00015123
	3	2	-6	   0.00008950       -0.00002327
	-3	2	-6	   0.00002102       -0.00009073
	-2	2	-6	   0.00039006       -0.00034788
	-1	2	-6	   0.00011485       -0.00016796
	0	3	-6	   0.00013386       -0.00006007
	1	3	-6	  -0.00019175        0.00007671
	2	3	-6	   0.00009052       -0.00002324
	-2	3	-6	   0.00006871       -0.00005013
	-1	3	-6	  -0.00016341        0.00010099
	0	-3	-6	   0.00007667        0.00009539
	1	-3	-6	  -0.00014764       -0.00002158
	2	-3	-6	   0.00005617        0.00007058
	-2	-3	-6	   0.00003429        0.00004368
	-1	-3	-6	  -0.00011936        0.00000274
	0	-2	-6	   0.00065313        0.00003412
	1	-2	-6	   0.00015544       -0.00004788
	2	-2	-6	   0.00048949        0.00012216
	3	-2	-6	   0.00008046        0.00001220
	-3	-2	-6	   0.00001192       -0.00005523
	-2	-2	-6	   0.00029003       -0.00007447
	-1	-2	-6	   0.00010105       -0.00010116
	0	-1	-6	   0.00025784        0.00010710
	1	-1	-6	  -0.00040098        0.00001824
	2	-1	-6	   0.00017296        0.00009317
	3	-1	-6	  -0.00018775       -0.00001136
	-3	-1	-6	  -0.00010769        0.00005647
	-2	-1	-6	   0.00013523        0.00004140
	-1	-1	-6	  -0.00032462        0.00008392
	0	0	-5	   0.00178321       -0.00045761
	1	0	-5	  -0.00064758       -0.00033079
	2	0	-5	   0.00123320       -0.00011502
	3	0	-5	  -0.00030949       -0.00015850
	4	0	-5	   0.00034482        0.00002484
	5	0	-5	  -0.00005256       -0.00002522
	-5	0	-5	  -0.00002805        0.00000976
	-4	0	-5	   0.00013574       -0.00015285
	-3	0	-5	  -0.00020717       -0.00000381
	-2	0	-5	   0.00084872       -0.00043055
	-1	0	-5	  -0.00053078       -0.00016547
	0	1	-5	  -0.00043163        0.00061084
	1	1	-5	  -0.00354919        0.00091068
	2	1	-5	  -0.00053365        0.00016130
	3	1	-5	  -0.00160758        0.00004774
	4	1	-5	  -0.00019701       -0.00000655
	-4	1	-5	   0.00000579        0.00019296
	-3	1	-5	  -0.00071049        0.00093254
	-2	1	-5	  -0.00009365        0.00059565
	-1	1	-5	  -0.00269916        0.00174935
	0	2	-5	   0.00115104       -0.00049279
	1	2	-5	  -0.00055240        0.00011915
	2	2	-5	   0.00081121       -0.00020576
	3	2	-5	  -0.00025153        0.00001723
	4	2	-5	   0.00022893       -0.00002252
	-4	2	-5	   0.00009713       -0.00013572
	-3	2	-5	  -0.00017798        0.00012177
	-2	2	-5	   0.00057263       -0.00040306
	-1	2	-5	  -0.00047474        0.00022467
	0	3	-5	  -0.00020880        0.00029484
	1	3	-5	  -0.00146119        0.00073955
	2	3	-5	  -0.00022944        0.00010814
	3	3	-5	  -0.00065617        0.00016831
	4	3	-5	  -0.00007565        0.00001071
	-4	3	-5	  -0.00000625        0.00007871
	-3	3	-5	  -0.00032254        0.00049701
	-2	3	-5	  -0.00006414        0.00027090
	-1	3	-5	  -0.00114886        0.00104745
	0	4	-5	   0.00029874       -0.00018818
	1	4	-5	  -0.00017609        0.00010261
	2	4	-5	   0.00021442       -0.00008967
	3	4	-5	  -0.00007265        0.00002770
	-3	4	-5	  -0.00005329        0.00005330
	-2	4	-5	   0.00014825       -0.00014669
	-1	4	-5	  -0.00015445        0.00013010
	0	5	-5	  -0.00003649        0.00004874
	0	-5	-5	  -0.00002800        0.00000395
	0	-4	-5	   0.00018390        0.00006901
	1	-4	-5	  -0.00007424       -0.00017494
	2	-4	-5	   0.00014245        0.00007370
	3	-4	-5	  -0.00003770       -0.00006699
	-3	-4	-5	  -0.00001829       -0.00004135
	-2	-4	-5	   0.00007634        0.00001668
	-1	-4	-5	  -0.00005261       -0.00014738
	0	-3	-5	  -0.00017639        0.00009890
	1	-3	-5	  -0.00101144       -0.00049055
	2	-3	-5	  -0.00020380       -0.00002582
	3	-3	-5	  -0.00048878       -0.00028880
	4	-3	-5	  -0.00006823       -0.00002256
	-4	-3	-5	   0.00000120        0.00004538
	-3	-3	-5	  -0.00015520        0.00003991
	-2	-3	-5	  -0.00003853        0.00013691
	-1	-3	-5	  -0.00069920       -0.00018257
	0	-2	-5	   0.00093592       -0.00003147
	1	-2	-5	  -0.00033194       -0.00048458
	2	-2	-5	   0.00067824        0.00008206
	3	-2	-5	  -0.00016857       -0.00020915
	4	-2	-5	   0.00019286        0.00005969
	-4	-2	-5	   0.00006111       -0.00005355
	-3	-2	-5	  -0.00009503       -0.00010457
	-2	-2	-5	   0.00043965       -0.00011524
	-1	-2	-5	  -0.00025442       -0.00037892
	0	-1	-5	  -0.00039068        0.00039884
	1	-1	-5	  -0.00312313       -0.00025522
	2	-1	-5	  -0.00050486        0.00002487
	3	-1	-5	  -0.00145093       -0.00038038
	4	-1	-5	  -0.00018832       -0.00004259
	-4	-1	-5	   0.00001444        0.00015686
	-3	-1	-5	  -0.00055397        0.00050438
	-2	-1	-5	  -0.00006506        0.00045915
	-1	-1	-5	  -0.00227331        0.00058351
	0	0	-4	   0.01235647       -0.00317096
	1	0	-4	   0.00225450       -0.00113323
	2	0	-4	   0.00856237        0.00036274
	3	0	-4	   0.00115288        0.00005971
	4	0	-4	   0.00215459        0.00051239
	5	0	-4	   0.00026119        0.00008579
	-5	0	-4	  -0.00006253       -0.00023201
	-4	0	-4	   0.00042549       -0.00118836
	-3	0	-4	  -0.00001960       -0.00108693
	-2	0	-4	   0.00439388       -0.00373257
	-1	0	-4	   0.00125742       -0.00210807
	0	1	-4	   0.00252904       -0.00009362
	1	1	-4	  -0.00389406        0.00099066
	2	1	-4	   0.00138596        0.00012494
	3	1	-4	  -0.00162992        0.00010513
	4	1	-4	   0.00037178        0.00008618
	5	1	-4	  -0.00026720       -0.00001566
	-5	1	-4	  -0.00006215        0.00015554
	-4	1	-4	   0.00022276       -0.00013703
	-3	1	-4	  -0.00071788        0.00087100
	-2	1	-4	   0.00124119       -0.00020224
	-1	1	-4	  -0.00288576        0.00184870
	0	2	-4	   0.00753589       -0.00449218
	1	2	-4	   0.00117003       -0.00079205
	2	2	-4	   0.00539855       -0.00138465
	3	2	-4	   0.00068494       -0.00004731
	4	2	-4	   0.00143939       -0.00004137
	5	2	-4	   0.00016839        0.00002611
	-5	2	-4	  -0.00002598       -0.00016509
	-4	2	-4	   0.00039025       -0.00107454
	-3	2	-4	  -0.00000252       -0.00072192
	-2	2	-4	   0.00304884       -0.00369728
	-1	2	-4	   0.00064200       -0.00131045
	0	3	-4	   0.00102642       -0.00061815
	1	3	-4	  -0.00150309        0.00068747
	2	3	-4	   0.00063976       -0.00029620
	3	3	-4	  -0.00068532        0.00017269
	4	3	-4	   0.00018924       -0.00004494
	5	3	-4	  -0.00010407        0.00000987
	-5	3	-4	  -0.00002460        0.00007710
	-4	3	-4	   0.00011758       -0.00014424
	-3	3	-4	  -0.00033012        0.00047290
	-2	3	-4	   0.00056408       -0.00043383
	-1	3	-4	  -0.00115462        0.00098510
	0	4	-4	   0.00172738       -0.00150800
	1	4	-4	   0.00029516       -0.00026203
	2	4	-4	   0.00130789       -0.00066326
	3	4	-4	   0.00018638       -0.00005319
	4	4	-4	   0.00035539       -0.00009115
	-4	4	-4	   0.00011871       -0.00032451
	-3	4	-4	   0.00002049       -0.00021685
	-2	4	-4	   0.00079106       -0.00117291
	-1	4	-4	   0.00017195       -0.00038368
	0	5	-4	   0.00020197       -0.00020450
	1	5	-4	  -0.00023298        0.00014165
	2	5	-4	   0.00014140       -0.00010605
	3	5	-4	  -0.00009740        0.00004071
	-3	5	-4	  -0.00004933        0.00008154
	-2	5	-4	   0.00011137       -0.00014388
	-1	5	-4	  -0.00018403        0.00018364
	0	-5	-4	   0.00003915        0.00023785
	1	-5	-4	  -0.00011927       -0.00010741
	2	-5	-4	   0.00004379        0.00015995
	3	-5	-4	  -0.00005364       -0.00005673
	-3	-5	-4	  -0.00000567       -0.00001588
	-2	-5	-4	   0.00001369        0.00012212
	-1	-5	-4	  -0.00007041       -0.00006535
	0	-4	-4	   0.00085887        0.00085817
	1	-4	-4	   0.00024722        0.00002117
	2	-4	-4	   0.00078135        0.00077370
	3	-4	-4	   0.00016051        0.00007468
	4	-4	-4	   0.00023670        0.00023330
	-4	-4	-4	   0.00000003       -0.00000005
	-3	-4	-4	  -0.00000546       -0.00008888
	-2	-4	-4	   0.00026447        0.00026412
	-1	-4	-4	   0.00012387       -0.00010028
	0	-3	-4	   0.00043517        0.00097947
	1	-3	-4	  -0.00099888       -0.00042486
	2	-3	-4	   0.00029391        0.00064290
	3	-3	-4	  -0.00048963       -0.00026253
	4	-3	-4	   0.00010609        0.00018257
	5	-3	-4	  -0.00007765       -0.00004924
	-5	-3	-4	   0.00000172        0.00001801
	-4	-3	-4	   0.00003431        0.00008321
	-3	-3	-4	  -0.00013472        0.00003775
	-2	-3	-4	   0.00021794        0.00050533
	-1	-3	-4	  -0.00065086       -0.00012689
	0	-2	-4	   0.00544039        0.00120712
	1	-2	-4	   0.00116223       -0.00040279
	2	-2	-4	   0.00421884        0.00183224
	3	-2	-4	   0.00066914        0.00012161
	4	-2	-4	   0.00118025        0.00066721
	5	-2	-4	   0.00015622        0.00007579
	-5	-2	-4	  -0.00003820       -0.00011539
	-4	-2	-4	   0.00013103       -0.00036601
	-3	-2	-4	  -0.00001861       -0.00055293
	-2	-2	-4	   0.00186856       -0.00048026
	-1	-2	-4	   0.00063355       -0.00092073
	0	-1	-4	   0.00202614        0.00126472
	1	-1	-4	  -0.00334059       -0.00025086
	2	-1	-4	   0.00112044        0.00084645
	3	-1	-4	  -0.00143900       -0.00032509
	4	-1	-4	   0.00031008        0.00025523
	5	-1	-4	  -0.00024044       -0.00007628
	-5	-1	-4	  -0.00003550        0.00009489
	-4	-1	-4	   0.00016083        0.00003192
	-3	-1	-4	  -0.00052753        0.00044068
	-2	-1	-4	   0.00097486        0.00051914
	-1	-1	-4	  -0.00233338        0.00060744
	0	0	-3	   0.01315930       -0.00337699
	1	0	-3	  -0.00521686       -0.00299862
	2	0	-3	   0.00712370       -0.00010802
	3	0	-3	  -0.00160138       -0.00092730
	4	0	-3	   0.00153559        0.00031794
	5	0	-3	  -0.00023888       -0.00013868
	6	0	-3	   0.00017726        0.00005570
	-6	0	-3	  -0.00000836       -0.00010063
	-5	0	-3	  -0.00013275        0.00005414
	-4	0	-3	   0.00018703       -0.00079153
	-3	0	-3	  -0.00107511        0.00005719
	-2	0	-3	   0.00369614       -0.00279728
	-1	0	-3	  -0.00387675       -0.00100074
	0	1	-3	  -0.00335227        0.00523958
	1	1	-3	  -0.02988405        0.00766742
	2	1	-3	  -0.00416960        0.00046310
	3	1	-3	  -0.01008139       -0.00041640
	4	1	-3	  -0.00115902       -0.00025232
	5	1	-3	  -0.00147098       -0.00032214
	6	1	-3	  -0.00014368       -0.00006347
	-6	1	-3	   0.00006363        0.00014083
	-5	1	-3	  -0.00003391        0.00109556
	-4	1	-3	   0.00027122        0.00116024
	-3	1	-3	  -0.00256814        0.00699534
	-2	1	-3	   0.00004858        0.00463714
	-1	1	-3	  -0.01929219        0.01811853
	0	2	-3	   0.00641923       -0.00332370
	1	2	-3	  -0.00397429        0.00164484
	2	2	-3	   0.00393596       -0.00098844
	3	2	-3	  -0.00136515        0.00033188
	4	2	-3	   0.00100384       -0.00002027
	5	2	-3	  -0.00020553        0.00001999
	6	2	-3	   0.00011846        0.00000460
	-6	2	-3	   0.00000860       -0.00008799
	-5	2	-3	  -0.00011702        0.00016001
	-4	2	-3	   0.00021378       -0.00067077
	-3	2	-3	  -0.00092876        0.00100929
	-2	2	-3	   0.00225900       -0.00230078
	-1	2	-3	  -0.00322525        0.00267110
	0	3	-3	  -0.00104134        0.00163442
	1	3	-3	  -0.00887635        0.00527963
	2	3	-3	  -0.00134558        0.00037883
	3	3	-3	  -0.00375070        0.00096202
	4	3	-3	  -0.00046386       -0.00002455
	5	3	-3	  -0.00060346        0.00002638
	-5	3	-3	  -0.00006326        0.00055900
	-4	3	-3	   0.00008202        0.00051382
	-3	3	-3	  -0.00125289        0.00342482
	-2	3	-3	  -0.00007440        0.00163207
	-1	3	-3	  -0.00618248        0.00793513
	0	4	-3	   0.00124514       -0.00101754
	1	4	-3	  -0.00094617        0.00079523
	2	4	-3	   0.00090884       -0.00045842
	3	4	-3	  -0.00040749        0.00025113
	4	4	-3	   0.00027806       -0.00006953
	5	4	-3	  -0.00005986        0.00002196
	-5	4	-3	  -0.00002918        0.00006330
	-4	4	-3	   0.00008028       -0.00023580
	-3	4	-3	  -0.00027189        0.00043471
	-2	4	-3	   0.00055629       -0.00074313
	-1	4	-3	  -0.00079847        0.00098622
	0	5	-3	  -0.00015683        0.00024571
	1	5	-3	  -0.00119030        0.00100479
	2	5	-3	  -0.00019131        0.00008510
	3	5	-3	  -0.00055194        0.00026997
	4	5	-3	  -0.00006228        0.00001009
	-4	5	-3	   0.00000501        0.00007697
	-3	5	-3	  -0.00021932        0.00059815
	-2	5	-3	  -0.00002704        0.00024734
	-1	5	-3	  -0.00087787        0.00131275
	0	6	-3	   0.00013603       -0.00013440
	1	6	-3	  -0.00010407        0.00012723
	2	6	-3	   0.00010430       -0.00006043
	-2	6	-3	   0.00005887       -0.00009983
	-1	6	-3	  -0.00009165        0.00014307
	0	-6	-3	   0.00003358        0.00009245
	1	-6	-3	  -0.00000009       -0.00015687
	2	-6	-3	   0.00004369        0.00007391
	-2	-6	-3	  -0.00000168        0.00003450
	-1	-6	-3	   0.00001235       -0.00014099
	0	-5	-3	  -0.00013459        0.00000898
	1	-5	-3	  -0.00046995       -0.00096608
	2	-5	-3	  -0.00016547       -0.00009080
	3	-5	-3	  -0.00028106       -0.00047059
	4	-5	-3	  -0.00005079       -0.00004345
	-4	-5	-3	   0.00001655        0.00002337
	-3	-5	-3	   0.00005157       -0.00014240
	-2	-5	-3	  -0.00000113        0.00007141
	-1	-5	-3	  -0.00015756       -0.00065804
	0	-4	-3	   0.00049154        0.00060340
	1	-4	-3	  -0.00022982       -0.00116792
	2	-4	-3	   0.00046751        0.00049176
	3	-4	-3	  -0.00013382       -0.00049734
	4	-4	-3	   0.00016878        0.00017188
	5	-4	-3	  -0.00002631       -0.00007083
	-5	-4	-3	   0.00000445       -0.00002946
	-4	-4	-3	  -0.00002879        0.00000557
	-3	-4	-3	   0.00000196       -0.00031368
	-2	-4	-3	   0.00011515        0.00020712
	-1	-4	-3	  -0.00008217       -0.00097657
	0	-3	-3	  -0.00094102        0.00043127
	1	-3	-3	  -0.00511014       -0.00502421
	2	-3	-3	  -0.00121356       -0.00047509
	3	-3	-3	  -0.00249816       -0.00246221
	4	-3	-3	  -0.00041339       -0.00026204
	5	-3	-3	  -0.00043674       -0.00042985
	-5	-3	-3	   0.00010346        0.00010278
	-4	-3	-3	   0.00013261        0.00027617
	-3	-3	-3	  -0.00000034        0.00000058
	-2	-3	-3	   0.00005752        0.00077830
