# Space group      : Pm-3m (221)
# Atomic species   : ['Cs', 'Pb', 'Br']
# Number of atoms  : 5    
# SOC              : True 
# Number of elec   : 34.0 
# Number of bands  : 48   
# Cell vectors in Å: a=[5.874 0.    0.   ], b=[0.    5.874 0.   ], c=[0.    0.    5.874]
# Band gap (eV)    : 1.7509 eV
# VBM: 0.0286 eV, band 33, k-point [0.5, 0.5, 0.5]
# CBM: 1.7795 eV, band 35, k-point [0.5, 0.5, 0.5]
 
#	Gx	Gy	Gz	Re(C_nk)	Im(C_nk)
n_band : 33,	energy : -2.26,	occupation : 1.0
	0	-2	0	  -0.02859786        0.07817964
	1	-2	0	   0.00556977        0.00967973
	2	-2	0	   0.00906760        0.04289085
	3	-2	0	   0.00359320        0.00416251
	4	-2	0	   0.00327555        0.00706868
	5	-2	0	   0.00067502        0.00078675
	6	-2	0	   0.00040723        0.00070164
	-6	-2	0	  -0.00056858       -0.00026110
	-5	-2	0	  -0.00070539       -0.00057766
	-4	-2	0	  -0.00532871       -0.00142822
	-3	-2	0	  -0.00354605       -0.00291506
	-2	-2	0	  -0.02722618        0.00698715
	-1	-2	0	  -0.00545092       -0.00126951
	0	-1	0	  -0.01986795        0.05431363
	1	-1	0	  -0.00976208       -0.04483077
	2	-1	0	  -0.00133350        0.01118164
	3	-1	0	  -0.00344007       -0.00623978
	4	-1	0	   0.00033334        0.00157734
	5	-1	0	  -0.00050227       -0.00067340
	6	-1	0	   0.00006813        0.00018002
	7	-1	0	  -0.00005072       -0.00005444
	-7	-1	0	   0.00005862        0.00003645
	-6	-1	0	  -0.00010916       -0.00006689
	-5	-1	0	   0.00068936        0.00026269
	-4	-1	0	  -0.00081226       -0.00025189
	-3	-1	0	   0.00584361        0.00101976
	-2	-1	0	  -0.00416389        0.00401237
	-1	-1	0	   0.03438045       -0.00837347
	0	0	1	  -0.05949783        0.01526853
	1	0	1	   0.01758177       -0.00433105
	2	0	1	   0.00267139        0.01099838
	3	0	1	   0.00190324       -0.00089222
	4	0	1	   0.00138096        0.00193501
	5	0	1	   0.00011910       -0.00015328
	6	0	1	   0.00018470        0.00022507
	7	0	1	  -0.00000924       -0.00002441
	-7	0	1	   0.00002571        0.00002694
	-6	0	1	  -0.00031015       -0.00019068
	-5	0	1	   0.00025949        0.00022392
	-4	0	1	  -0.00284504       -0.00153191
	-3	0	1	   0.00285001        0.00193508
	-2	0	1	  -0.01943465       -0.00641865
	-1	0	1	   0.03061969        0.01558956
	0	1	1	   0.01680602       -0.00405562
	1	1	1	   0.00001186       -0.00002048
	2	1	1	  -0.00755340       -0.01184587
	3	1	1	  -0.00930195       -0.00914779
	4	1	1	  -0.00167015       -0.00204193
	5	1	1	  -0.00151243       -0.00148942
	6	1	1	  -0.00022435       -0.00024940
	-6	1	1	   0.00028649        0.00025422
	-5	1	1	   0.00236417        0.00233267
	-4	1	1	   0.00247631        0.00204588
	-3	1	1	   0.01990991        0.01965305
	-2	1	1	   0.01602091        0.01139601
	-1	1	1	   0.08814512        0.08687586
	0	2	1	  -0.00213175       -0.01085946
	1	2	1	  -0.00183570        0.01434380
	2	2	1	   0.00293106       -0.00065571
	3	2	1	  -0.00050103        0.00214067
	4	2	1	   0.00098532        0.00044759
	5	2	1	  -0.00007418        0.00017260
	6	2	1	   0.00013678        0.00007342
	-6	2	1	  -0.00016112       -0.00017661
	-5	2	1	   0.00008653        0.00047048
	-4	2	1	  -0.00122373       -0.00135726
	-3	2	1	   0.00064089        0.00409861
	-2	2	1	  -0.00412380       -0.00608854
	-1	2	1	   0.00224457        0.01987322
	0	3	1	   0.00196753        0.00001678
	1	3	1	  -0.00467607        0.01272641
	2	3	1	  -0.00135183       -0.00161530
	3	3	1	  -0.00363182        0.00093026
	4	3	1	  -0.00060931       -0.00053638
	5	3	1	  -0.00071093       -0.00015409
	6	3	1	  -0.00009526       -0.00008455
	-6	3	1	   0.00011155        0.00011944
	-5	3	1	   0.00072960        0.00126533
	-4	3	1	   0.00083134        0.00088131
	-3	3	1	   0.00389946        0.00835105
	-2	3	1	   0.00293676        0.00259585
	-1	3	1	   0.00595599        0.02319971
	0	4	1	   0.00044436       -0.00235897
	1	4	1	  -0.00066213        0.00264798
	2	4	1	   0.00070403       -0.00084571
	3	4	1	  -0.00032130        0.00078300
	4	4	1	   0.00028454       -0.00006817
	5	4	1	  -0.00005589        0.00009143
	-5	4	1	   0.00001299        0.00019020
	-4	4	1	  -0.00019992       -0.00046985
	-3	4	1	   0.00000461        0.00123714
	-2	4	1	  -0.00025114       -0.00160386
	-1	4	1	  -0.00025030        0.00318932
	0	5	1	   0.00015863        0.00009687
	1	5	1	  -0.00075930        0.00207142
	2	5	1	  -0.00014151       -0.00010870
	3	5	1	  -0.00057598        0.00048380
	4	5	1	  -0.00008804       -0.00005259
	-4	5	1	   0.00011277        0.00014579
	-3	5	1	   0.00032257        0.00136932
	-2	5	1	   0.00030101        0.00032690
	-1	5	1	   0.00009372        0.00291176
	0	6	1	   0.00007353       -0.00028674
	1	6	1	  -0.00009999        0.00033313
	2	6	1	   0.00009286       -0.00012863
	3	6	1	  -0.00005071        0.00012266
	-3	6	1	  -0.00001964        0.00016441
	-2	6	1	  -0.00000903       -0.00021454
	-1	6	1	  -0.00006611        0.00037618
	0	7	1	   0.00000093        0.00002758
	0	-7	1	   0.00001252       -0.00003779
	0	-6	1	  -0.00019997        0.00031699
	1	-6	1	   0.00015620       -0.00036712
	2	-6	1	  -0.00007187        0.00023455
	3	-6	1	   0.00005298       -0.00016094
	-3	-6	1	   0.00008397       -0.00011920
	-2	-6	1	  -0.00017390        0.00014860
	-1	-6	1	   0.00019002       -0.00032409
	0	-5	1	   0.00014515       -0.00034263
	1	-5	1	   0.00118472       -0.00324284
	2	-5	1	  -0.00010989       -0.00047328
	3	-5	1	   0.00014671       -0.00149007
	4	-5	1	  -0.00006434       -0.00017895
	-4	-5	1	   0.00013635        0.00001947
	-3	-5	1	   0.00104508       -0.00060454
	-2	-5	1	   0.00033239       -0.00003762
	-1	-5	1	   0.00203765       -0.00240256
	0	-4	1	  -0.00192066        0.00271043
	1	-4	1	   0.00141738       -0.00303590
	2	-4	1	  -0.00053479        0.00179647
	3	-4	1	   0.00040213       -0.00118917
	4	-4	1	   0.00001492        0.00051733
	5	-4	1	   0.00004469       -0.00018427
	-5	-4	1	   0.00011343       -0.00008548
	-4	-4	1	  -0.00046992        0.00011574
	-3	-4	1	   0.00072736       -0.00073499
	-2	-4	1	  -0.00149092        0.00103837
	-1	-4	1	   0.00182855       -0.00249491
	0	-3	1	   0.00177699       -0.00324037
	1	-3	1	   0.00997306       -0.02731861
	2	-3	1	  -0.00107139       -0.00404171
	3	-3	1	   0.00014656       -0.00938934
	4	-3	1	  -0.00049252       -0.00112059
	5	-3	1	  -0.00026018       -0.00138546
	6	-3	1	  -0.00008358       -0.00013864
	-6	-3	1	   0.00012317        0.00006538
	-5	-3	1	   0.00118017        0.00003402
	-4	-3	1	   0.00094751        0.00029736
	-3	-3	1	   0.00767661       -0.00196826
	-2	-3	1	   0.00321465        0.00016958
	-1	-3	1	   0.02060383       -0.01684602
	0	-2	1	  -0.01475540        0.01491523
	1	-2	1	   0.00998666       -0.01797234
	2	-2	1	  -0.00114160        0.00743980
	3	-2	1	   0.00165566       -0.00372075
	4	-2	1	   0.00044186        0.00156700
	5	-2	1	   0.00014798       -0.00043333
